2020/12/20 16:25:18.397909475	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	2	[1]
2020/12/20 16:25:18.398485788	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	0	[2]
2020/12/20 16:25:18.398505123	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	0	[3]
2020/12/20 16:25:18.398515150	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[4]
2020/12/20 16:25:18.398524996	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	0	[5]
2020/12/20 16:25:18.398533754	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	0	[6]
2020/12/20 16:25:18.398543293	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	2	[7]
2020/12/20 16:25:18.398552520	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[8]
2020/12/20 16:25:18.398561647	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	2	[9]
2020/12/20 16:25:18.398571602	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	3	[10]
2020/12/20 16:25:18.398657031	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[11]
2020/12/20 16:25:18.398668363	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	3	[12]
2020/12/20 16:25:18.398678223	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[13]
2020/12/20 16:25:18.398687613	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	0	[14]
2020/12/20 16:25:18.398697196	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[15]
2020/12/20 16:25:18.398706089	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	3	[16]
2020/12/20 16:25:18.398717272	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	2	[17]
2020/12/20 16:25:18.398726337	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[18]
2020/12/20 16:25:18.398735874	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	3	[19]
2020/12/20 16:25:18.398744839	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[20]
2020/12/20 16:25:18.398753928	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[21]
2020/12/20 16:25:18.398763145	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	2	[22]
2020/12/20 16:25:18.398772121	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	1	[23]
2020/12/20 16:25:18.398781666	pkt_dtgrm_ipv4_udp	192.168.1.6	55501	0	[24]
